"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
  1,"Toy Story 3","6/18/2010","Walt Disney Pictures","Adventure","G",415004880,52598844,415004879
  2,"Avatar","12/18/2009","20th Century Fox","Action","PG-13",408392727,51760802,408392728
  3,"Alice in Wonderland","3/5/2010","Walt Disney Pictures","Adventure","PG",334191110,42356288,334191112
  4,"Iron Man 2","5/7/2010","Paramount Pictures","Adventure","PG-13",312433331,39598648,312433333
  5,"The Twilight Saga: Eclipse","6/30/2010","Summit Entertainment","Drama","PG-13",300531751,38090209,300531749
  6,"Inception","7/16/2010","Warner Bros.","Thriller/Suspense","PG-13",292568851,37080970,292568853
  7,"Harry Potter and the Deathly Hallows: Part I","11/19/2010","Warner Bros.","Adventure","PG-13",283533215,35935769,283533217
  8,"Despicable Me","7/9/2010","Universal","Comedy","PG",251203225,31838178,251203224
  9,"Shrek Forever After","5/21/2010","Paramount Pictures","Adventure","PG",238736787,30258148,238736788
 10,"How to Train Your Dragon","3/26/2010","Paramount Pictures","Comedy","PG",217581231,27576835,217581228
 11,"The Karate Kid","6/11/2010","Sony Pictures","Adventure","PG",176591618,22381701,176591621
 12,"Tangled","11/24/2010","Walt Disney Pictures","Adventure","PG",167821986,21270214,167821988
 13,"Clash of the Titans","4/2/2010","Warner Bros.","Action","PG-13",163214888,20686298,163214891
 14,"Grown Ups","6/25/2010","Sony Pictures","Comedy","PG-13",162001186,20532470,162001188
 15,"Megamind","11/5/2010","Paramount Pictures","Adventure","PG",144192018,18275287,144192014
 16,"The Last Airbender","7/1/2010","Paramount Pictures","Adventure","PG",131772187,16701164,131772184
 17,"Tron: Legacy","12/17/2010","Walt Disney Pictures","Drama","PG",131304844,16641932,131304843
 18,"Shutter Island","2/19/2010","Paramount Pictures","Thriller/Suspense","R",128012934,16224706,128012930
 19,"The Other Guys","8/6/2010","Sony Pictures","Comedy","PG-13",119219978,15110263,119219975
 20,"Salt","7/23/2010","Sony Pictures","Thriller/Suspense","PG-13",118311368,14995104,118311371
 21,"Jackass 3D","10/15/2010","Paramount Pictures","Comedy","R",117109417,14842765,117109416
 22,"Valentine's Day","2/12/2010","Warner Bros.","Romantic Comedy","PG-13",110485654,14003251,110485650
 23,"Robin Hood","5/14/2010","Universal","Action","PG-13",105487148,13369727,105487146
 24,"The Expendables","8/13/2010","Lionsgate","Action","R",103068524,13063184,103068522
 25,"Little Fockers","12/22/2010","Universal","Comedy","PG-13",102576190,13000785,102576194
 26,"Due Date","11/5/2010","Warner Bros.","Comedy","R",99231922,12576923,99231922
 27,"Date Night","4/9/2010","20th Century Fox","Comedy","PG-13",98711404,12510951,98711403
 28,"Sex and the City 2","5/27/2010","Warner Bros.","Comedy","R",95347692,12084625,95347691
 29,"The Book of Eli","1/15/2010","Warner Bros.","Action","R",94835059,12019653,94835062
 30,"The Social Network","10/1/2010","Sony Pictures","Drama","PG-13",93222026,11815212,93222023
 31,"The Town","9/17/2010","Warner Bros.","Drama","R",92173235,11682286,92173237
 32,"Prince of Persia: Sands of Time","5/28/2010","Walt Disney Pictures","Action","PG-13",90759676,11503128,90759680
 33,"Red","10/15/2010","Summit Entertainment","Action","PG-13",89505187,11344130,89505186
 34,"Percy Jackson & the Olympians: The Lightning Thief","2/12/2010","20th Century Fox","Adventure","PG",88768303,11250735,88768299
 35,"The Chronicles of Narnia: The Voyage of the Dawn Treader","12/10/2010","20th Century Fox","Adventure","PG",86926397,11017287,86926394
 36,"True Grit","12/22/2010","Paramount Pictures","Western","PG-13",86670382,10984839,86670380
 37,"Paranormal Activity 2","10/22/2010","Paramount Pictures","Horror","R",84660648,10730120,84660647
 38,"Eat Pray Love","8/13/2010","Sony Pictures","Drama","R",80574010,10212169,80574013
 39,"Dear John","2/5/2010","Sony Pictures","Drama","PG-13",80014842,10141298,80014841
 40,"Unstoppable","11/12/2010","20th Century Fox","Action","PG-13",79468486,10072051,79468482
 41,"The A-Team","6/11/2010","20th Century Fox","Action","PG-13",77222099,9787338,77222097
 42,"Knight and Day","6/23/2010","20th Century Fox","Action","PG-13",76423035,9686063,76423037
 43,"Dinner for Schmucks","7/30/2010","Paramount Pictures","Comedy","PG-13",73026337,9255556,73026337
 44,"Sherlock Holmes","12/25/2009","Warner Bros.","Adventure","PG-13",70313242,8911691,70313242
 45,"The Bounty Hunter","3/19/2010","Sony Pictures","Romantic Comedy","PG-13",67061228,8499522,67061229
 46,"Yogi Bear 3D","12/17/2010","Warner Bros.","Adventure","PG",65755336,8334010,65755339
 47,"Diary of a Wimpy Kid","3/19/2010","20th Century Fox","Comedy","PG",65003625,8238736,65003627
 48,"Alvin and the Chipmunks: The Squeakquel","12/23/2009","20th Century Fox","Comedy","PG",63697677,8073216,63697674
 49,"The Sorcerer's Apprentice","7/14/2010","Walt Disney Pictures","Adventure","PG",63150991,8003928,63150992
 50,"A Nightmare on Elm Street","4/30/2010","Warner Bros.","Horror","R",63075011,7994298,63075011
 51,"The Last Song","3/31/2010","Walt Disney Pictures","Drama","PG",62950384,7978502,62950381
 52,"The Wolf Man","2/12/2010","Universal","Horror","R",62189884,7882115,62189887
 53,"Get Him to the Greek","6/4/2010","Universal","Comedy","R",61153526,7750764,61153528
 54,"Why Did I Get Married Too?","4/2/2010","Lionsgate","Drama","PG-13",60095852,7616711,60095850
 55,"The Tooth Fairy","1/22/2010","20th Century Fox","Comedy","PG",60022256,7607384,60022260
 56,"Secretariat","10/8/2010","Walt Disney Pictures","Drama","PG",59053682,7484624,59053683
 57,"Easy A","9/17/2010","Sony Pictures","Comedy","PG-13",58401464,7401960,58401464
 58,"Takers","8/27/2010","Sony Pictures","Drama","PG-13",57744720,7318722,57744717
 59,"Legend of the Guardians: The Owls of Ga'Hoole 3D","9/24/2010","Warner Bros.","Adventure","PG",55549823,7040535,55549821
 60,"The Tourist","12/10/2010","Sony Pictures","Thriller/Suspense","PG-13",54633191,6924359,54633193
 61,"It's Complicated","12/25/2009","Universal","Romantic Comedy","R",53556535,6787901,53556539
 62,"Resident Evil: Afterlife 3D","9/10/2010","Sony Pictures","Horror","R",53183340,6740601,53183342
 63,"Letters to Juliet","5/14/2010","Summit Entertainment","Drama","PG",53032453,6721477,53032454
 64,"Life as We Know It","10/8/2010","Warner Bros.","Romantic Comedy","PG-13",52886508,6702979,52886504
 65,"Wall Street 2: Money Never Sleeps","9/24/2010","20th Century Fox","Drama","PG-13",52474616,6650775,52474615
 66,"Predators","7/9/2010","20th Century Fox","Action","R",52000688,6590708,52000686
 67,"Hot Tub Time Machine","3/26/2010","MGM","Comedy","R",50269859,6371338,50269857
 68,"Kick-Ass","4/16/2010","Lionsgate","Action","R",48071303,6092687,48071300
 69,"Black Swan","12/3/2010","Fox Searchlight","Thriller/Suspense","R",47807791,6059289,47807790
 70,"The Blind Side","11/20/2009","Warner Bros.","Drama","PG-13",47483408,6018176,47483409
 71,"Killers","6/4/2010","Lionsgate","Action","PG-13",47059963,5964507,47059960
 72,"The Fighter","12/10/2010","Paramount Pictures","Drama","R",46388853,5879449,46388853
 73,"Saw VII 3D","10/29/2010","Lionsgate","Horror","R",45710178,5793432,45710178
 74,"Cop Out","2/26/2010","Warner Bros.","Comedy","R",44875481,5687640,44875480
 75,"The Lovely Bones","12/11/2009","Paramount Pictures","Drama","PG-13",43731131,5542602,43731130
 76,"Cats & Dogs: The Revenge of Kitty Galore","7/30/2010","Warner Bros.","Comedy","PG",43585753,5524177,43585757
 77,"Edge of Darkness","1/29/2010","Warner Bros.","Drama","R",43313890,5489720,43313891
 78,"Death at a Funeral","4/16/2010","Sony Pictures","Comedy","R",42739347,5416901,42739349
 79,"Step Up 3D","8/6/2010","Walt Disney Pictures","Drama","PG-13",42400223,5373919,42400221
 80,"The Last Exorcism","8/27/2010","Lionsgate","Horror","PG-13",41034350,5200805,41034351
 81,"Legion","1/22/2010","Sony Pictures","Thriller/Suspense","R",40168080,5091011,40168077
 82,"Up in the Air","12/4/2009","Paramount Pictures","Drama","R",39448116,4999761,39448114
 83,"The Crazies","2/26/2010","Overture Films","Horror","R",39123589,4958630,39123591
 84,"Crazy Heart","12/16/2009","Fox Searchlight","Drama","R",38769554,4913758,38769551
 85,"Burlesque","11/24/2010","Sony Pictures","Drama","PG-13",37733561,4782454,37733562
 86,"For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf","11/5/2010","Lionsgate","Drama","R",37676774,4775257,37676778
 87,"The Back-up Plan","4/23/2010","CBS Films","Romantic Comedy","PG-13",37490007,4751585,37490006
 88,"Vampires Suck","8/18/2010","20th Century Fox","Comedy","PG-13",36661504,4646578,36661500
 89,"The American","9/1/2010","Focus Features","Thriller/Suspense","R",35606376,4512849,35606379
 90,"Green Zone","3/12/2010","Universal","Drama","R",35497337,4499029,35497339
 91,"Devil","9/17/2010","Universal","Thriller/Suspense","PG-13",33679655,4268651,33679656
 92,"Marmaduke","6/4/2010","20th Century Fox","Comedy","PG",33644788,4264232,33644790
 93,"Hereafter","10/15/2010","Warner Bros.","Thriller/Suspense","PG-13",32712586,4146082,32712587
 94,"When in Rome","1/29/2010","Walt Disney Pictures","Romantic Comedy","PG-13",32680633,4142032,32680632
 95,"She's Out of My League","3/12/2010","Paramount Pictures","Romantic Comedy","R",32010860,4057143,32010858
 96,"Scott Pilgrim vs. The World","8/13/2010","Universal","Comedy","PG-13",31611316,4006504,31611317
 97,"Charlie St. Cloud","7/30/2010","Universal","Drama","PG-13",31206263,3955166,31206260
 98,"Morning Glory","11/10/2010","Paramount Pictures","Comedy","PG-13",30759976,3898603,30759978
 99,"Daybreakers","1/8/2010","Lionsgate","Horror","R",30101577,3815156,30101581
100,"Nanny McPhee Returns","8/20/2010","Universal","Adventure","PG",29197642,3700588,29197639
101,"The Switch","8/20/2010","Miramax","Romantic Comedy","PG-13",27758465,3518183,27758464
102,"Gulliver's Travels","12/22/2010","20th Century Fox","Comedy","PG",27454506,3479659,27454510
103,"Brooklyn's Finest","3/5/2010","Overture Films","Thriller/Suspense","R",27163593,3442787,27163589
104,"Machete","9/3/2010","20th Century Fox","Action","R",26593646,3370551,26593647
105,"Ramona and Beezus","7/23/2010","20th Century Fox","Comedy","G",26167002,3316477,26167004
