district,vote_share,mshare,eshare,rep_inc,mccain,median_age,pct_white,pct_college,med_hhinc,pct_female,cshare_nm,aug_mshare,sep_mshare,oct_mshare,aug_cnnshare,sep_cnnshare,oct_cnnshare,vote_share_12,mshare_12
1,NA,NA,NA,1,61,38.6,67.6,21.4,43.144,51.9,NA,NA,NA,NA,NA,NA,NA,97.85624589,43.47826087
2,51.09377145,26.26262626,27.05882353,0,63,37.7,64.2,19.7,40.419,51.5,0,14.28571429,26.66666667,27.27272727,0,0,0,63.65943677,45.45454545
3,59.4806507,0,0,1,56,36.9,64.3,20.6,37.885,51.4,0,0,0,0,0,0,0,64.10968122,63.93837265
4,NA,NA,NA,1,76,40.9,90.2,12.9,36.842,51.2,NA,NA,NA,NA,NA,NA,NA,74.06548923,77.77777778
5,57.93566975,65.07936508,66.66666667,0,61,39.4,75.7,27,45.419,51,0,40,71.42857143,65,0,0,0,65.0216355,85.18518519
6,NA,NA,NA,1,76,38.2,81.8,33.4,56.151,51.1,NA,NA,NA,NA,NA,NA,NA,71.29799141,92.30769231
7,27.51529806,33.33333333,40,0,27,34.6,34.6,18,30.358,53.5,0,0,0,40,0,0,0,75.89887549,12.5
8,69.32447923,79.41176471,81.25,1,59,33.9,66.8,26.4,67.825,48.4,100,100,63.63636364,82.35294118,1,0,0,69.08281542,98.0952381
9,53.20279747,40.32258065,43.75,0,54,39.8,70.8,20.3,40.264,48.6,100,28.57142857,27.27272727,50,0,0,1,48.05811277,28.23529412
10,67.62879593,27.02702703,30.3030303,1,61,40.7,85.6,22.4,50.121,50.9,0,55.55555556,22.22222222,16.66666667,0,0,0,49.58011375,36.51685393
11,55.9390424,95.94046008,95.84569733,0,57,36.8,85.2,34.9,55.061,50.9,100,97.83001808,86.11111111,92.72727273,1,0,1,38.88947502,7.272727273
12,29.13940846,67.44186047,62.96296296,0,33,28.8,69.9,13.8,31.573,48,0,66.66666667,37.5,75.86206897,0,0,0,70.2000767,94.80519481
13,54.60734305,31.49606299,31.16883117,0,52,36.5,82.8,42.7,56.621,50.8,0,33.33333333,14.70588235,37.97468354,0,0,0,67.19060716,86.66666667
14,69.52330188,55,78.57142857,1,61,35.3,84.1,29.5,54.646,50.8,0,87.5,0,36.36363636,0,0,0,64.78880348,95.76719577
15,46.82344332,60.38863976,58.00711744,0,42,31.9,71.5,15.6,35.657,50,0,55.17241379,44.44444444,64.44444444,0,0,0,18.25748864,66.66666667
16,49.23716245,76.11940299,77.10843373,0,52,41.8,82.5,33,50.311,51.1,0,74.28571429,84.44444444,72.88135593,0,0,0,64.37432016,94.36619718
