,bioguide_id,birthdate,cid,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party,phone,twitter_id,votesmart_id,webform,website,youtube_url
0,L000578,1960-07-02,N00033987,,322 Cannon House Office Building,0,RepLaMalfa,530-534-7800,H2CA02142,2012,Doug LaMalfa,M,LAMALFA,CA01,R,202-225-3076,RepLaMalfa,29713,https://lamalfa.house.gov/contact/email-me,http://lamalfa.house.gov,https://youtube.com/RepLaMalfa
1,H001068,1964-02-18,N00033030,,1406 Longworth House Office Building,0,RepHuffman,202-225-5163,H2CA06259,2012,Jared Huffman,M,HUFFMAN,CA02,D,202-225-5161,RepHuffman,59849,https://huffman.house.gov/contact/email-me,http://huffman.house.gov,https://youtube.com/rephuffman
2,G000559,1945-01-24,N00030856,,2438 Rayburn House Office Building,0,repgaramendi,202-225-5914,H0CA10149,2009,John Garamendi,M,GARAMENDI,CA03,D,202-225-1880,RepGaramendi,29664,https://garamendi.house.gov/contact-me/email-me,http://garamendi.house.gov,https://youtube.com/garamendiCA10
3,M001177,1956-07-10,N00006863,,2312 Rayburn House Office Building,0,81125319109,202-225-5444,H8CA04152,2008,Tom McClintock,M,MCCLINTOCK,CA04,R,202-225-2511,RepMcClintock,9715,https://mcclintockforms.house.gov/forms/contact-form.shtml,http://mcclintock.house.gov,https://youtube.com/McClintockCA04
4,T000460,1951-01-24,N00007419,,231 Cannon House Office Building,0,RepMikeThompson,202-225-4335,H8CA01109,1998,Mike Thompson,M,THOMPSON,CA05,D,202-225-3311,RepThompson,3564,https://mikethompson.house.gov/contact/email-me,http://mikethompson.house.gov,https://youtube.com/CongressmanMThompson
5,M001163,1944-09-25,N00027459,,2311 Rayburn House Office Building,0,doris.matsui,202-225-0566,H6CA05195,2005,Doris O Matsui,F,MATSUI,CA06,D,202-225-7163,DorisMatsui,28593,https://matsui.house.gov/email-representative-matsui,https://matsui.house.gov,https://youtube.com/RepDorisMatsui
6,B001287,1965-03-02,N00030717,,1431 Longworth House Office Building,0,RepAmiBera,202-226-1298,H0CA03078,2012,Ami Bera,M,BERA,CA07,D,202-225-5716,RepBera,120030,https://beraforms.house.gov/forms/writeyourrep/,http://bera.house.gov,https://youtube.com/repamibera
7,C001094,1943-03-03,N00034224,,1222 Longworth House Office Building,0,RepPaulCook,202-225-6498,H2CA08164,2012,Paul Cook,M,COOK,CA08,R,202-225-5861,RepPaulCook,58121,https://cook.house.gov/contact/email-me,http://cook.house.gov,https://youtube.com/RepPaulCook
8,M001166,1951-06-18,N00026926,,2265 Rayburn House Office Building,0,jerrymcnerney,202-225-4060,H4CA11081,2006,Jerry McNerney,M,MCNERNY,CA09,D,202-225-1947,RepMcNerney,29474,https://mcnerney.house.gov/contact/email-me,http://mcnerney.house.gov,https://youtube.com/RepJerryMcNerney
9,D000612,1967-07-29,N00031593,,1730 Longworth House Office Building,0,RepJeffDenham,202-225-3402,H0CA19173,2010,Jeff Denham,M,DENHAM,CA10,R,202-225-4540,RepJeffDenham,28769,https://denham.house.gov/contact-me/email-me,http://denham.house.gov,https://youtube.com/repjeffdenham
